,entity,dates,hits
0,Instagram,1/2/20,1157
1,Instagram,1/3/20,1390
2,Instagram,1/4/20,1503
3,Instagram,1/5/20,1583
4,Instagram,1/6/20,1205
5,Instagram,1/7/20,1402
6,Instagram,1/8/20,2226
7,Instagram,1/9/20,2067
8,Instagram,1/10/20,2292
9,Instagram,1/11/20,2411
10,Instagram,1/12/20,1367
11,Instagram,1/13/20,112
12,Instagram,1/14/20,248
13,Instagram,1/15/20,185
14,Instagram,1/16/20,99
15,Instagram,1/17/20,42
16,Instagram,1/18/20,70
17,Instagram,1/19/20,116
18,Instagram,1/20/20,228
19,Instagram,1/21/20,163
20,Instagram,1/22/20,110
21,Instagram,1/23/20,136
22,Instagram,1/24/20,87
23,Instagram,1/25/20,77
24,Instagram,1/26/20,50
25,Instagram,1/27/20,29
26,Instagram,1/28/20,99
27,Instagram,1/29/20,86
28,Instagram,1/30/20,120
29,Instagram,1/31/20,157
30,Instagram,2/1/20,74
31,Instagram,2/2/20,86
32,Instagram,2/3/20,249
33,Instagram,2/4/20,273
34,Instagram,2/5/20,120
35,Instagram,2/6/20,115
36,Instagram,2/7/20,110
37,Instagram,2/8/20,82
38,Instagram,2/9/20,56
39,Instagram,2/10/20,86
40,Instagram,2/11/20,51
41,Instagram,2/12/20,541
42,Instagram,2/13/20,208
43,Instagram,2/14/20,105
44,Instagram,2/15/20,126
45,Instagram,2/16/20,256
46,Instagram,2/17/20,198
47,Instagram,2/18/20,133
48,Instagram,2/19/20,29
49,Instagram,2/20/20,15
50,Instagram,2/21/20,9
51,Instagram,2/22/20,21
52,Instagram,2/23/20,13
53,Instagram,2/24/20,11
54,Instagram,2/25/20,13
55,Instagram,2/26/20,44
56,Instagram,2/27/20,79
57,Instagram,2/28/20,25
58,Instagram,2/29/20,27
59,Instagram,3/1/20,42
60,Instagram,3/2/20,160
61,Instagram,3/3/20,446
62,Instagram,3/4/20,101
63,Instagram,3/5/20,99
64,Instagram,3/6/20,317
65,Instagram,3/7/20,191
66,Instagram,3/8/20,118
67,Instagram,3/9/20,129
68,Instagram,3/10/20,79
69,Instagram,3/11/20,247
70,Instagram,3/12/20,69
71,Instagram,3/13/20,53
72,Instagram,3/14/20,40
73,Instagram,3/15/20,45
74,Instagram,3/16/20,540
75,Instagram,3/17/20,252
76,Instagram,3/18/20,99
77,Instagram,3/19/20,80
78,Instagram,3/20/20,183
79,Instagram,3/21/20,123
80,Instagram,3/22/20,157
81,Instagram,3/23/20,152
82,Instagram,3/24/20,105
83,Instagram,3/25/20,637
84,Instagram,3/26/20,16
85,Instagram,3/27/20,6
86,Instagram,3/28/20,10
87,Instagram,3/29/20,8
88,Instagram,3/30/20,195
89,Instagram,3/31/20,48
90,Instagram,4/1/20,17
91,Instagram,4/2/20,5
92,Instagram,4/3/20,9
93,Instagram,4/4/20,4
94,Instagram,4/5/20,14
95,Instagram,4/6/20,9
96,Instagram,4/7/20,8
97,Instagram,4/8/20,6
98,Instagram,4/9/20,9
99,Instagram,4/10/20,3
100,Instagram,4/11/20,4
101,Instagram,4/12/20,4
102,Instagram,4/13/20,10
103,Instagram,4/14/20,4
104,Instagram,4/15/20,9
105,Instagram,4/16/20,16
106,Instagram,4/17/20,4
107,Instagram,4/18/20,1
108,Instagram,4/19/20,7
109,Instagram,4/20/20,7
110,Instagram,4/21/20,9
111,Instagram,4/22/20,19
112,Instagram,4/23/20,15
113,Instagram,4/24/20,6
114,Instagram,4/25/20,5
115,Instagram,4/26/20,9
116,Instagram,4/27/20,6
117,Instagram,4/28/20,4
118,Instagram,4/29/20,12
119,Instagram,4/30/20,15
120,Instagram,5/1/20,2
121,Instagram,5/2/20,2
122,Link Intime India,1/2/20,0
123,Link Intime India,1/3/20,0
124,Link Intime India,1/4/20,0
