,peak_duration,peak_size,entity,peak_start_date
0,0,124,50 Cent,2020-01-02
1,0,337,50 Cent,2020-01-03
2,0,337,50 Cent,2020-01-04
3,0,370,50 Cent,2020-01-05
4,0,380,50 Cent,2020-01-06
5,0,380,50 Cent,2020-01-07
6,0,194,50 Cent,2020-01-08
7,0,37,50 Cent,2020-01-09
8,0,37,50 Cent,2020-01-10
9,0,35,50 Cent,2020-01-11
10,0,35,50 Cent,2020-01-12
11,0,35,50 Cent,2020-01-13
12,0,21,50 Cent,2020-01-14
13,0,23,50 Cent,2020-01-15
14,5,3558,50 Cent,2020-01-16
15,0,789,50 Cent,2020-01-22
16,5,2727,50 Cent,2020-01-23
17,0,434,50 Cent,2020-01-29
18,0,356,50 Cent,2020-01-30
19,0,100,50 Cent,2020-01-31
20,0,145,50 Cent,2020-02-01
21,0,145,50 Cent,2020-02-02
22,0,145,50 Cent,2020-02-03
23,0,142,50 Cent,2020-02-04
24,0,142,50 Cent,2020-02-05
25,0,458,50 Cent,2020-02-06
26,0,1025,50 Cent,2020-02-07
27,0,1025,50 Cent,2020-02-08
28,0,991,50 Cent,2020-02-09
29,0,1440,50 Cent,2020-02-10
30,0,1440,50 Cent,2020-02-11
31,0,1440,50 Cent,2020-02-12
32,0,1440,50 Cent,2020-02-13
33,0,998,50 Cent,2020-02-14
34,0,1153,50 Cent,2020-02-15
35,0,1321,50 Cent,2020-02-16
36,0,1532,50 Cent,2020-02-17
37,0,1638,50 Cent,2020-02-18
38,0,1638,50 Cent,2020-02-19
39,0,348,50 Cent,2020-02-20
40,0,348,50 Cent,2020-02-21
41,0,357,50 Cent,2020-02-22
42,0,357,50 Cent,2020-02-23
43,0,357,50 Cent,2020-02-24
44,0,458,50 Cent,2020-02-25
45,0,458,50 Cent,2020-02-26
46,0,433,50 Cent,2020-02-27
47,0,477,50 Cent,2020-02-28
48,0,477,50 Cent,2020-02-29
49,0,253,50 Cent,2020-03-01
50,0,68,50 Cent,2020-03-02
51,0,68,50 Cent,2020-03-03
52,0,80,50 Cent,2020-03-04
53,0,542,50 Cent,2020-03-05
54,0,542,50 Cent,2020-03-06
55,0,542,50 Cent,2020-03-07
56,0,542,50 Cent,2020-03-08
57,0,535,50 Cent,2020-03-09
58,0,148,50 Cent,2020-03-10
59,0,37,50 Cent,2020-03-11
60,0,393,50 Cent,2020-03-12
61,0,393,50 Cent,2020-03-13
62,0,393,50 Cent,2020-03-14
63,0,398,50 Cent,2020-03-15
64,0,398,50 Cent,2020-03-16
65,0,354,50 Cent,2020-03-17
66,0,14,50 Cent,2020-03-18
67,0,2062,50 Cent,2020-03-19
68,0,2062,50 Cent,2020-03-20
69,0,2062,50 Cent,2020-03-21
70,0,2062,50 Cent,2020-03-22
71,0,1947,50 Cent,2020-03-23
72,0,1612,50 Cent,2020-03-24
73,0,119,50 Cent,2020-03-25
74,0,119,50 Cent,2020-03-26
75,0,134,50 Cent,2020-03-27
76,0,216,50 Cent,2020-03-28
77,0,216,50 Cent,2020-03-29
78,0,216,50 Cent,2020-03-30
79,0,250,50 Cent,2020-03-31
80,0,615,50 Cent,2020-04-01
81,0,629,50 Cent,2020-04-02
82,6,8553,50 Cent,2020-04-03
